N, Single Diff, Double Diff
1,0.000000000000000e+00,0.000000000000000e+00
10,9.658583402633667e-01,9.658582847852594e-01
100,9.980722069740295e-01,9.980722436402605e-01
1000,9.998664259910583e-01,9.998664078695075e-01
10000,9.999897480010986e-01,9.999897829970238e-01
100000,9.999992251396179e-01,9.999991728801380e-01
1000000,9.999999403953552e-01,9.999999305204623e-01
